,nucl,mass,beckgr,m_data,Device,activity,aver_range_score,sigma,eff
17,K_1_A=14.6,0.05,0.844,"[1.09, 1.16, 1.2, 1.14, 1.1]",AT_OWN,0.73,0.29399999999999993,0.0401995024844835,0.40273972602739716
16,K_1_A=14.6,0.15,0.844,"[1.54, 1.52, 1.52, 1.51, 1.48]",AT_OWN,2.19,0.67,0.01959591794226544,0.30593607305936077
18,K_1_A=14.6,0.3,0.844,"[2.06, 1.97, 1.97, 1.99, 1.97]",AT_OWN,4.38,1.1480000000000001,0.034871191548325416,0.2621004566210046
19,K_2_A=7.4,0.05,0.82,"[0.998, 0.994, 0.942, 0.952, 0.934]",AT_OWN,0.37000000000000005,0.14400000000000013,0.026773120849090414,0.3891891891891895
20,K_2_A=7.4,0.15,0.815,"[1.16, 1.14, 1.15, 1.21, 1.2]",AT_OWN,1.11,0.3570000000000002,0.027856776554368263,0.3216216216216218
21,K_2_A=7.4,0.3,0.815,"[1.31, 1.34, 1.34, 1.3, 1.31]",AT_OWN,2.22,0.5049999999999999,0.016733200530681527,0.2274774774774774
23,K_3_A=10.3,0.05,0.811,"[1.01, 1.1, 1.08, 1.05, 1.07]",AT_OWN,0.515,0.251,0.030594117081556734,0.487378640776699
24,K_3_A=10.3,0.1,0.801,"[1.28, 1.24, 1.17, 1.22, 1.21]",AT_OWN,1.03,0.42299999999999993,0.03611094017053561,0.41067961165048533
22,K_3_A=10.3,0.3,0.789,"[1.59, 1.63, 1.61, 1.62, 1.56]",AT_OWN,3.0900000000000003,0.8129999999999998,0.024819347291981687,0.2631067961165048
0,Sr_1_A=2.13,0.15,0.823,"[0.992, 0.948, 0.944, 0.929]",AT_OWN,0.31949999999999995,0.13024999999999998,0.023466731770743016,0.4076682316118936
9,Sr_1_A=2.13,0.15,0.841,"[0.957, 1, 0.964, 0.961, 0.981, 0.936]",AT_OWN,0.31949999999999995,0.12549999999999994,0.019956202043475094,0.39280125195618143
1,Sr_1_A=2.13,0.3,0.832,"[0.987, 1.01, 1.01, 1.05, 1.11]",AT_OWN,0.6389999999999999,0.2013999999999999,0.04333866633850197,0.3151799687010954
2,Sr_1_A=2.13,0.45,0.832,"[1.07, 1.15, 1.12, 1.07, 1.04]",AT_OWN,0.9585,0.2580000000000001,0.03949683531626297,0.26917057902973407
3,Sr_2_A=10.96,0.05,0.826,"[1.23, 1.21, 1.17, 1.21, 1.26]",AT_OWN,0.548,0.39,0.029393876913398165,0.7116788321167883
4,Sr_2_A=10.96,0.15,0.826,"[1.61, 1.63, 1.56, 1.64, 1.56]",AT_OWN,1.6440000000000001,0.7740000000000001,0.03405877273185274,0.47080291970802923
5,Sr_2_A=10.96,0.3,0.826,"[2.1, 2.06, 2.06, 2.14, 2.02]",AT_OWN,3.2880000000000003,1.25,0.04079215610874232,0.3801703163017031
7,Sr_3_A=21.03,0.05,0.826,"[1.35, 1.37, 1.4, 1.35, 1.37]",AT_OWN,1.0515,0.5420000000000001,0.0183303027798233,0.5154541131716597
6,Sr_3_A=21.03,0.15,0.826,"[2.25, 2.38, 2.17, 2.35, 2.26]",AT_OWN,3.1545,1.456,0.0752063827078527,0.46156284672689807
8,Sr_3_A=21.03,0.3,0.818,"[2.988, 3.101, 3.015]",AT_OWN,6.309,2.216666666666667,0.04818252334151412,0.3513499233898663
10,Sr_4_A=30.56,0.05,0.873,"[1.64, 1.64, 1.57, 1.52, 1.45]",AT_OWN,1.528,0.6909999999999998,0.07282856582413247,0.45222513089005223
11,Sr_4_A=30.56,0.15,0.873,"[2.76, 2.86, 2.74, 2.82, 2.73]",AT_OWN,4.584,1.909,0.04995998398718711,0.4164485165794067
12,Sr_4_A=30.56,0.3,0.789,"[4.22, 4.34, 4.29, 4.22, 4.26]",AT_OWN,9.168,3.477,0.04543126676640225,0.3792539267015707
13,Sr_5_A=49.57,0.05,0.848,"[2.33, 2.35, 2.44, 2.31, 2.37]",AT_OWN,2.4785000000000004,1.5120000000000005,0.04472135954999575,0.6100463990316725
14,Sr_5_A=49.57,0.15,0.848,"[4.26, 4.11, 4.22, 4.26, 4.27]",AT_OWN,7.435499999999999,3.3760000000000003,0.05953150426454863,0.4540380606549661
15,Sr_5_A=49.57,0.3,0.827,"[6.49, 6.4, 6.28, 6.5, 6.37]",AT_OWN,14.870999999999999,5.5809999999999995,0.08133879763065097,0.3752941967587923
